Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
Bhargava Spondin Drop,30 ml,₹185,₹170,https://www.1mg.com/otc/bhargava-spondin-drop-otc325892
SBL Berberis Vulgaris Mother Tincture Q,30 ml,₹105,₹98,https://www.1mg.com/otc/sbl-berberis-vulgaris-mother-tincture-q-otc348876
Dr. Reckeweg R5 Stomach and Digestion Drop,22 ml,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r5-stomach-and-digestion-drop-otc326077
Dr. Reckeweg R9 Cough Drop,22 ml,₹285,₹267,https://www.1mg.com/otc/dr.-reckeweg-r9-cough-drop-otc326072
Bakson's Homeopathy Aller Aid Tablet,200 tablets,₹500,₹382,https://www.1mg.com/otc/bakson-s-homeopathy-aller-aid-tablet-otc326090
Dr. Reckeweg R25 Prostatitis Drop,22 ml,₹285,₹228,https://www.1mg.com/otc/dr.-reckeweg-r25-prostatitis-drop-otc326058
SBL Calcarea Fluorica Biochemic Tablet 6X,25 gm,₹110,₹96.3,https://www.1mg.com/otc/sbl-calcarea-fluorica-biochemic-tablet-6x-otc331087
SBL Syzygium Jambolanum Mother Tincture Q,30 ml,₹105,₹100,https://www.1mg.com/otc/sbl-syzygium-jambolanum-mother-tincture-q-otc338412
SBL Arnica Montana Dilution 200 CH,30 ml,₹115,₹109,https://www.1mg.com/otc/sbl-arnica-montana-dilution-200-ch-otc338216
SBL Bio-Combination 6 Tablet,25 gm,₹110,₹73,https://www.1mg.com/otc/sbl-bio-combination-6-tablet-otc331025
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,22 ml,₹285,₹235,https://www.1mg.com/otc/dr.-reckeweg-r40-diabetes-drop-homeopathic-medicine-otc326035
Dr. Reckeweg R71 Sciatica Drop,22 ml,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r71-sciatica-drop-otc325999
SBL Arsenicum Album Dilution 30 CH,30 ml,₹100,₹96,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-30-ch-otc338369
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
Bakson's Homeopathy Throat Aid Tablet,200 tablets,₹500,₹345,https://www.1mg.com/otc/bakson-s-homeopathy-throat-aid-tablet-otc502934
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
Dr. Reckeweg R7 Liver and Gallbladder Drop,22 ml,₹285,₹231,https://www.1mg.com/otc/dr.-reckeweg-r7-liver-and-gallbladder-drop-otc326075
SBL Nux Vomica Dilution 200 CH,30 ml,₹115,₹85,https://www.1mg.com/otc/sbl-nux-vomica-dilution-200-ch-otc338195
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Bakson's Homeopathy Calcarea Phosphorica Biochemic Tablet 6X,NA,₹720,₹490,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-phosphorica-biochemic-tablet-6x-otc695108
Dr. Reckeweg R85 High Blood Pressure Drop,30 ml,₹330,₹264,https://www.1mg.com/otc/dr.-reckeweg-r85-high-blood-pressure-drop-otc326018
SBL Prostonum Drop,30 ml,₹170,₹136,https://www.1mg.com/otc/sbl-prostonum-drop-otc329004
SBL Berberis Aquifolium Gel,25 gm,₹75,₹72.4,https://www.1mg.com/otc/sbl-berberis-aquifolium-gel-otc330988
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
SBL Jaborandi Mother Tincture Q,30 ml,₹150,₹105,https://www.1mg.com/otc/sbl-jaborandi-mother-tincture-q-otc338446
Dr. Reckeweg R42 Varicosis Drop,22 ml,₹285,₹231,https://www.1mg.com/otc/dr.-reckeweg-r42-varicosis-drop-otc326032
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
Dr. Reckeweg R11 Rheumatism Drop,22 ml,₹285,₹237,https://www.1mg.com/otc/dr.-reckeweg-r11-rheumatism-drop-otc327504
Dr Willmar Schwabe Germany Cineraria Maritima Schwabe Eye Drop Alcohol Free,10 ml,₹200,₹192,https://www.1mg.com/otc/dr-willmar-schwabe-germany-cineraria-maritima-schwabe-eye-drop-alcohol-free-otc824401
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
SBL Kali Phosphoricum Biochemic Tablet 6X,25 gm,₹110,₹104,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-6x-otc331042
SBL Chelidonium Majus Mother Tincture Q,30 ml,₹150,₹142,https://www.1mg.com/otc/sbl-chelidonium-majus-mother-tincture-q-otc338503
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
ADEL 18 Glucorect Drop,20 ml,₹310,₹240,https://www.1mg.com/otc/adel-18-glucorect-drop-otc327731
Dr. Reckeweg R65 Psoriasis Drop,22 ml,₹285,₹237,https://www.1mg.com/otc/dr.-reckeweg-r65-psoriasis-drop-otc326001
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
Dr. Reckeweg R49 Sinus Drop,22 ml,NA,MRP₹285,https://www.1mg.com/otc/dr.-reckeweg-r49-sinus-drop-otc327421
Bakson's Homeopathy Gastro Aid Tablet,200 tablets,₹500,₹330,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-tablet-otc386762
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
SBL Arnica Montana Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-arnica-montana-dilution-30-ch-otc338218
SBL Hydrastis Canadensis Mother Tincture Q,30 ml,₹425,₹314,https://www.1mg.com/otc/sbl-hydrastis-canadensis-mother-tincture-q-otc338448
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
