Name,Size_of_the_bottle,MRP_of_the_bottle,Price_of_the_bottle,1Mg_URL
Dr. Reckeweg R3 Heart Drop,22 ml,₹285,₹229,https://www.1mg.com/otc/dr.-reckeweg-r3-heart-drop-otc326082
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
SBL Thuja Ointment,25 gm,₹75,₹70,https://www.1mg.com/otc/sbl-thuja-ointment-otc331009
SBL Bio-Combination 20 Tablet,25 gm,₹110,₹104,https://www.1mg.com/otc/sbl-bio-combination-20-tablet-otc331069
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
SBL Rite-Hite Tablet,25 gm,₹165,₹147,https://www.1mg.com/otc/sbl-rite-hite-tablet-otc329012
Allen A84 Lipoma Drop,30 ml,₹170,₹150,https://www.1mg.com/otc/allen-a84-lipoma-drop-otc330453
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
Dr. Reckeweg Carbo Veg Dilution 30 CH,11 ml,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-30-ch-otc326855
SBL Ferrum Phosphoricum Biochemic Tablet 6X,25 gm,₹110,₹105,https://www.1mg.com/otc/sbl-ferrum-phosphoricum-biochemic-tablet-6x-otc331056
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
SBL FP Ointment,25 gm,₹80,₹60,https://www.1mg.com/otc/sbl-fp-ointment-otc330996
SBL Arsenicum Album Dilution 200 CH,30 ml,₹115,₹109,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-200-ch-otc345914
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
Adven Osteodin-Z Oral Drops (25ml Each),NA,₹555,₹394,https://www.1mg.com/otc/adven-osteodin-z-oral-drops-25ml-each-otc567455
Dr. Reckeweg R14 Nerve And Sleep Drop,22 ml,₹285,₹237,https://www.1mg.com/otc/dr.-reckeweg-r14-nerve-and-sleep-drop-otc326070
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
SBL Stobal Cough Syrup,115 ml,₹115,₹108,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328987
Dr Willmar Schwabe Germany Gastrobin Drop,20 ml,₹230,₹223,https://www.1mg.com/otc/dr-willmar-schwabe-germany-gastrobin-drop-otc326129
SBL Gymnema Sylvestre Mother Tincture Q,30 ml,₹105,₹97,https://www.1mg.com/otc/sbl-gymnema-sylvestre-mother-tincture-q-otc338482
Dr. Reckeweg Kalmegh Mother Tincture Q,20 ml,₹360,₹323,https://www.1mg.com/otc/dr.-reckeweg-kalmegh-mother-tincture-q-otc327588
SBL Thuja Roll-On,10 ml,₹50,₹49,https://www.1mg.com/otc/sbl-thuja-roll-on-otc337713
New Life Bach Flower Rescue Remedy 30,100 ml,₹250,₹246,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc701188
SBL Tribulus Terrestris Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-tribulus-terrestris-mother-tincture-q-otc348982
Medisynth Wartex Cream,20 gm,₹100,₹94,https://www.1mg.com/otc/medisynth-wartex-cream-otc339265
Bakson's Homeopathy Kof Aid Tablet,75 tablets,₹215,₹166,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc327314
Dr. Reckeweg Sulphur Dilution 200,11 ml,₹170,₹160,https://www.1mg.com/otc/dr.-reckeweg-sulphur-dilution-200-otc331625
Wheezal Mel-X Melasma Tablet,30 tablets,₹125,₹110,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713520
ADEL 82 Hepat Liver Tonic Drop,150 ml,₹520,₹429,https://www.1mg.com/otc/adel-82-hepat-liver-tonic-drop-otc723949
Dr. Reckeweg Five Phos 6X Tablet,20 gm,₹200,₹189,https://www.1mg.com/otc/dr.-reckeweg-five-phos-6x-tablet-otc653785
SBL Cineraria Maritima Euphrasia Eye Drop,10 ml,₹125,₹111,https://www.1mg.com/otc/sbl-cineraria-maritima-euphrasia-eye-drop-otc329019
Dr. Reckeweg Nux Vomica Dilution 200 CH,11 ml,₹170,₹151,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-200-ch-otc336265
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
Dr. Reckeweg Rhus Tox Dilution 30 CH,11 ml,₹145,₹130,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-30-ch-otc326469
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
SBL Damiana Mother Tincture Q,30 ml,₹150,₹144,https://www.1mg.com/otc/sbl-damiana-mother-tincture-q-otc338489
SBL Ginseng Mother Tincture Q,30 ml,₹365,₹282,https://www.1mg.com/otc/sbl-ginseng-mother-tincture-q-otc338483
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Dr. Reckeweg Lycopodium Dilution 30 CH,11 ml,₹145,₹127,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-30-ch-otc327871
Dr. Reckeweg R6 Influenza Drop,22 ml,₹285,₹262,https://www.1mg.com/otc/dr.-reckeweg-r6-influenza-drop-otc326076
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,500 ml,₹350,₹298,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc492430
Bakson's Homeopathy Astha Aid Tablet,200 tablets,₹500,₹405,https://www.1mg.com/otc/bakson-s-homeopathy-astha-aid-tablet-otc386763
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
SBL Euphrasia 10% Eye Drop,10 ml,₹90,₹87.3,https://www.1mg.com/otc/sbl-euphrasia-10-eye-drop-otc326104
Wheezal Mel-X Melasma Cream,25 gm,₹135,₹130,https://www.1mg.com/otc/wheezal-mel-x-melasma-cream-otc713516
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,20 ml,₹270,₹259,https://www.1mg.com/otc/dr.-reckeweg-syzygium-jamb-mother-tincture-q-otc327494
SBL Passiflora Incarnata Mother Tincture Q,30 ml,₹125,₹110,https://www.1mg.com/otc/sbl-passiflora-incarnata-mother-tincture-q-otc338434
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
New Life NL-3 Blood Cholestrol Drop,30 ml,₹160,₹142,https://www.1mg.com/otc/new-life-nl-3-blood-cholestrol-drop-otc326170
SBL Hepar Sulphur Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-30-ch-otc338323
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
Bakson's Homeopathy Gastro Aid Tablet,75 tablets,₹215,₹171,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-tablet-otc326081
Bjain Syzygium Jambolanum Mother Tincture Q,100 ml,₹195,₹146,https://www.1mg.com/otc/bjain-syzygium-jambolanum-mother-tincture-q-otc329100
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
Medisynth Pilen Forte Drop,30 ml,₹175,₹159,https://www.1mg.com/otc/medisynth-pilen-forte-drop-otc375718
SBL Bio-Combination 17 Tablet,25 gm,₹110,₹106,https://www.1mg.com/otc/sbl-bio-combination-17-tablet-otc331065
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
Dr Willmar Schwabe Germany Biofungin Syrup,250 ml,₹847,₹739,https://www.1mg.com/otc/dr-willmar-schwabe-germany-biofungin-syrup-otc326130
Allen A87 Creatinine & Blood Urea Drop,30 ml,₹170,₹165,https://www.1mg.com/otc/allen-a87-creatinine-blood-urea-drop-otc330464
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
SBL Justicia Adhatoda Mother Tincture Q,30 ml,₹105,₹99,https://www.1mg.com/otc/sbl-justicia-adhatoda-mother-tincture-q-otc338444
SBL Guatteria Gaumeri Mother Tincture Q,30 ml,₹330,₹252,https://www.1mg.com/otc/sbl-guatteria-gaumeri-mother-tincture-q-otc746024
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
SBL Acidum Phosphoricum Dilution 200 CH,30 ml,₹115,₹99,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-200-ch-otc345638
SBL Pulsatilla Nigricans Dilution 30 CH,30 ml,₹100,₹94,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-dilution-30-ch-otc338190
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
SBL Aspidosperma Quebracho Mother Tincture Q,30 ml,₹220,₹160,https://www.1mg.com/otc/sbl-aspidosperma-quebracho-mother-tincture-q-otc338516
SBL Sulphur Dilution 200 CH,30 ml,₹115,₹108,https://www.1mg.com/otc/sbl-sulphur-dilution-200-ch-otc338173
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
Dr. Reckeweg Carbo Veg Dilution 200 CH,11 ml,₹170,₹136,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-200-ch-otc335766
ADEL 28 Plevent Drop,20 ml,₹310,₹218,https://www.1mg.com/otc/adel-28-plevent-drop-otc326092
SBL Mullein Ear Drop,10 ml,NA,MRP₹65,https://www.1mg.com/otc/sbl-mullein-ear-drop-otc328981
Bakson's Homeopathy Tonsil Aid Tablet,200 tablets,₹500,₹415,https://www.1mg.com/otc/bakson-s-homeopathy-tonsil-aid-tablet-otc386768
SBL Echinacea Angustifolia Mother Tincture Q,30 ml,₹220,₹212,https://www.1mg.com/otc/sbl-echinacea-angustifolia-mother-tincture-q-otc338488
Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,20 gm,₹200,₹173,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-20-bc-20-tablet-otc326263
Essentia Aurea Gold Drop,30 ml,₹200,₹186,https://www.1mg.com/otc/essentia-aurea-gold-drop-otc326134
SBL Carbo Vegetabilis Dilution 200 CH,30 ml,₹115,₹112,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-200-ch-otc338207
SBL Drops No. 4 (For BP),30 ml,₹185,₹178,https://www.1mg.com/otc/sbl-drops-no.-4-for-bp-otc329038
Wheezal Hekla Lava Tooth Powder,100 gm,₹130,₹121,https://www.1mg.com/otc/wheezal-hekla-lava-tooth-powder-otc438662
SBL Caladium Seguinum Dilution 30 CH,30 ml,₹100,₹79,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-30-ch-otc346065
SBL Cholesterinum Trituration Tablet 3X,25 gm,₹175,₹133,https://www.1mg.com/otc/sbl-cholesterinum-trituration-tablet-3x-otc339005
Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,75 tablets,₹215,₹176,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-d-tablet-otc358328
Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,500 ml,₹375,₹319,https://www.1mg.com/otc/dr-willmar-schwabe-india-dizester-digestive-tonic-sugar-free-otc492426
Bakson B33 Cough Drop,30 ml,₹185,₹133,https://www.1mg.com/otc/bakson-b33-cough-drop-otc388080
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
SBL Drops No. 8 ( For Allergic Rhinitis),30 ml,₹185,₹157,https://www.1mg.com/otc/sbl-drops-no.-8-for-allergic-rhinitis-otc339777
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
Dr. Reckeweg Arnica Mont Dilution 200 CH,11 ml,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-200-ch-otc335897
SBL Calendula Officinalis Mother Tincture Q,30 ml,₹105,₹102,https://www.1mg.com/otc/sbl-calendula-officinalis-mother-tincture-q-otc338509
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,30 ml,₹110,₹85,https://www.1mg.com/otc/dr-willmar-schwabe-india-terminalia-arjuna-mother-tincture-q-otc391598
Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,30 ml,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-crataegus-oxyacantha-mother-tincture-q-otc390911
ADEL 17 Glautaract Drop,20 ml,₹310,₹230,https://www.1mg.com/otc/adel-17-glautaract-drop-otc326103
SBL Silicea Dilution 200 CH,30 ml,₹115,₹76,https://www.1mg.com/otc/sbl-silicea-dilution-200-ch-otc338177
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
SBL Bio-Combination 19 Tablet,25 gm,₹110,₹85,https://www.1mg.com/otc/sbl-bio-combination-19-tablet-otc331068
SBL Avena Sativa Mother Tincture Q,30 ml,₹105,₹101,https://www.1mg.com/otc/sbl-avena-sativa-mother-tincture-q-otc338515
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
SBL Tranquil Tablet,25 gm,₹165,₹150,https://www.1mg.com/otc/sbl-tranquil-tablet-otc326115
Dr. Reckeweg Bio-Combination 17 (BC 17) Tablet,20 gm,₹200,₹188,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-17-bc-17-tablet-otc326268
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
SBL Ginkgo Biloba Mother Tincture Q,30 ml,₹220,₹200,https://www.1mg.com/otc/sbl-ginkgo-biloba-mother-tincture-q-otc338479
ADEL 39 Apo-Sciatica Drop,20 ml,₹295,₹277,https://www.1mg.com/otc/adel-39-apo-sciatica-drop-otc326085
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
Dr. Reckeweg Magnesium Phosphoricum Biochemic Tablet 6X,20 gm,₹200,₹181,https://www.1mg.com/otc/dr.-reckeweg-magnesium-phosphoricum-biochemic-tablet-6x-otc327878
Dr. Reckeweg R51 Thyroid Intoxication Drop,22 ml,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r51-thyroid-intoxication-drop-otc327416
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,30 ml,₹125,₹75,https://www.1mg.com/otc/dr-willmar-schwabe-india-passiflora-incarnata-mother-tincture-q-otc391475
Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,30 ml,₹100,₹90,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch-otc372354
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
Dr. Reckeweg R43 Bronchial Drop,22 ml,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r43-bronchial-drop-otc326030
Bakson's Homeopathy Hite Aid Tablet,75 tablets,₹215,₹183,https://www.1mg.com/otc/bakson-s-homeopathy-hite-aid-tablet-otc327080
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
Dr. Reckeweg Thuja Occ Dilution 200 CH,11 ml,₹170,₹144,https://www.1mg.com/otc/dr.-reckeweg-thuja-occ-dilution-200-ch-otc331559
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,30 ml,₹320,₹272,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-serrulata-mother-tincture-q-otc391635
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
ADEL 9 Cri-Regen Drop,20 ml,₹310,₹248,https://www.1mg.com/otc/adel-9-cri-regen-drop-otc326114
Dr. Reckeweg Calc Fluor Dilution 30 CH,11 ml,₹145,₹124,https://www.1mg.com/otc/dr.-reckeweg-calc-fluor-dilution-30-ch-otc326872
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
New Life Aller-N Drop,30 ml,₹120,₹112,https://www.1mg.com/otc/new-life-aller-n-drop-otc325848
SBL Nixocid Syrup,500 ml,₹305,₹284,https://www.1mg.com/otc/sbl-nixocid-syrup-otc325887
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
SBL Acidum Phosphoricum Mother Tincture Q,30 ml,₹125,₹105,https://www.1mg.com/otc/sbl-acidum-phosphoricum-mother-tincture-q-otc338535
Dr. Reckeweg R23 Eczema Drop,22 ml,₹285,₹221,https://www.1mg.com/otc/dr.-reckeweg-r23-eczema-drop-otc326060
Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,30 ml,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-vulgaris-mother-tincture-q-otc390805
Dr Willmar Schwabe India Fucus Vesiculosus Mother Tincture Q,30 ml,₹150,₹94,https://www.1mg.com/otc/dr-willmar-schwabe-india-fucus-vesiculosus-mother-tincture-q-otc390987
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,200 ml,₹200,₹178,https://www.1mg.com/otc/wheezal-arnica-hair-n-scalp-treatment-homeopathic-medicine-otc339198
SBL Hamamelis Virginica Mother Tincture Q,30 ml,₹150,₹99,https://www.1mg.com/otc/sbl-hamamelis-virginica-mother-tincture-q-otc338477
ADEL 2 Apo-Ham Drop,20 ml,₹310,₹245,https://www.1mg.com/otc/adel-2-apo-ham-drop-otc327734
Lord's Ylo Tablet,50 tablets,₹150,₹140,https://www.1mg.com/otc/lord-s-ylo-tablet-otc357512
ADEL 12 Dercut Drop,20 ml,₹310,₹218,https://www.1mg.com/otc/adel-12-dercut-drop-otc326110
Bangalore Bio-Plasgens Soundarya Complexion Cream,30 gm,₹110,₹104,https://www.1mg.com/otc/bangalore-bio-plasgens-soundarya-complexion-cream-otc388383
SBL Kali Bichromicum Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-kali-bichromicum-dilution-30-ch-otc338319
Haslab Drox 24 Sciatec Drop,30 ml,₹170,₹160,https://www.1mg.com/otc/haslab-drox-24-sciatec-drop-otc339527
Bakson's Homeopathy Spondy Aid Drop,30 ml,₹175,₹127,https://www.1mg.com/otc/bakson-s-homeopathy-spondy-aid-drop-otc326059
SBL Diaboherb Capsule,NA,₹500,₹450,https://www.1mg.com/otc/sbl-diaboherb-capsule-otc329033
Hapdco Marks Go Cream,25 gm,₹110,₹92,https://www.1mg.com/otc/hapdco-marks-go-cream-otc350392
Sunny Herbals Lip Balm,10 gm,₹45,₹40.1,https://www.1mg.com/otc/sunny-herbals-lip-balm-otc499060
Sunny Herbals Hair Color Light Brown Sachet,NA,₹50,₹49,https://www.1mg.com/otc/sunny-herbals-hair-color-light-brown-sachet-otc499062
Medisynth Jondila Sugar Free Syrup,200 ml,₹170,₹153,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Sunny Herbals Fruit Cream,100 gm,₹185,₹176,https://www.1mg.com/otc/sunny-herbals-fruit-cream-otc503115
SBL Fucus Vesiculosus Mother Tincture Q,30 ml,₹150,₹140,https://www.1mg.com/otc/sbl-fucus-vesiculosus-mother-tincture-q-otc338484
SBL Pulsatilla Nigricans Dilution 200 CH,30 ml,₹115,₹100,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-dilution-200-ch-otc338189
Sunny Herbals Sun Care Cream,100 gm,₹270,₹202,https://www.1mg.com/otc/sunny-herbals-sun-care-cream-otc327076
SBL Cephalandra Indica Mother Tincture Q,30 ml,₹105,₹99,https://www.1mg.com/otc/sbl-cephalandra-indica-mother-tincture-q-otc338504
SBL AF-Tabs Tablet,25 gm,₹165,₹156,https://www.1mg.com/otc/sbl-af-tabs-tablet-otc328992
SBL Vertefine Drop,30 ml,₹150,₹128,https://www.1mg.com/otc/sbl-vertefine-drop-otc328991
SBL Thuja Occidentalis Mother Tincture Q,30 ml,₹150,₹106,https://www.1mg.com/otc/sbl-thuja-occidentalis-mother-tincture-q-otc338408
Sunny Herbals Anti Wrinkle Cream,125 gm,₹250,₹231,https://www.1mg.com/otc/sunny-herbals-anti-wrinkle-cream-otc402201
ADEL 36 Pollon Drop,20 ml,₹310,₹270,https://www.1mg.com/otc/adel-36-pollon-drop-otc325883
SBL Ruta Graveolens Dilution 200 CH,30 ml,₹115,₹112,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-200-ch-otc348620
Sunny Herbals Under Eye Cream,50 gm,₹185,₹159,https://www.1mg.com/otc/sunny-herbals-under-eye-cream-otc327072
Bakson's Homeopathy Biocombination 7 Tablet,NA,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-7-tablet-otc695069
Dr. Reckeweg Biochemic Combination 25 (BC 25) Tablet,20 gm,₹200,₹185,https://www.1mg.com/otc/dr.-reckeweg-biochemic-combination-25-bc-25-tablet-otc326257
Sunny Herbals Aloevera+Calendula Bathing Bar,75 gm,NA,MRP₹65,https://www.1mg.com/otc/sunny-herbals-aloevera-calendula-bathing-bar-otc499055
Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,30 ml,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-mother-tincture-q-otc391561
Haslab Laxyalo Caplet,NA,₹45,₹41,https://www.1mg.com/otc/haslab-laxyalo-caplet-otc793319
Sunny Herbals Hair Color 12 Sachets Dark Brown,240 gm,₹600,₹534,https://www.1mg.com/otc/sunny-herbals-hair-color-12-sachets-dark-brown-otc338002
Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,NA,₹720,₹700,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-sulphuricum-biochemic-tablet-6x-otc695564
Bakson's Homeopathy Kof Aid Tablet,200 tablets,₹500,₹380,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc386761
Sunny Herbals Hair Pack,100 gm,₹185,₹182,https://www.1mg.com/otc/sunny-herbals-hair-pack-otc503107
SBL Arnica Montana Herbal Shampoo With Conditioner,200 ml,₹180,₹152,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-conditioner-otc330953
Bakson's Homeopathy Ferrum Phosphoricum Biochemic Tablet 6X,NA,₹720,₹700,https://www.1mg.com/otc/bakson-s-homeopathy-ferrum-phosphoricum-biochemic-tablet-6x-otc695145
Sunny Herbals Almond Shampoo,250 ml,₹215,₹181,https://www.1mg.com/otc/sunny-herbals-almond-shampoo-otc400765
Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,30 ml,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-withania-somnifera-aswagandha-mother-tincture-q-otc391463
Dr. Reckeweg Belladonna Dilution 30 CH,11 ml,₹145,₹134,https://www.1mg.com/otc/dr.-reckeweg-belladonna-dilution-30-ch-otc326889
Sunny Herbals Arnica Montana Hair Oil,100 ml,₹120,₹118,https://www.1mg.com/otc/sunny-herbals-arnica-montana-hair-oil-otc503007
Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,30 ml,₹275,₹268,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-mother-tincture-q-otc453360
SBL Urtica Urens Mother Tincture Q,30 ml,₹105,₹97,https://www.1mg.com/otc/sbl-urtica-urens-mother-tincture-q-otc338407
Sunny Herbals Hair Removal Cream,100 gm,₹160,₹134,https://www.1mg.com/otc/sunny-herbals-hair-removal-cream-otc402137
SBL Antimonium Tartaricum Dilution 30 CH,30 ml,₹100,₹93,https://www.1mg.com/otc/sbl-antimonium-tartaricum-dilution-30-ch-otc338380
Dr. Reckeweg R95 Alfalfa Tonic,250 ml,₹685,₹620,https://www.1mg.com/otc/dr.-reckeweg-r95-alfalfa-tonic-otc336743
"Sunny Herbals Face Wash Gel with Aloevera, Calendula and Tea Tree Oil",100 gm,₹165,₹163,https://www.1mg.com/otc/sunny-herbals-face-wash-gel-with-aloevera-calendula-and-tea-tree-oil-otc373354
Wheezal Jaborandi Hair Treatment Oil,110 ml,₹160,₹122,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc339194
Dr. Reckeweg R55 All Kinds Of Injuries Drop,22 ml,₹285,₹222,https://www.1mg.com/otc/dr.-reckeweg-r55-all-kinds-of-injuries-drop-otc326013
Sunny Herbals Cocoa Butter Cream,125 gm,₹250,₹212,https://www.1mg.com/otc/sunny-herbals-cocoa-butter-cream-otc326229
SBL Homeocal Tablet,450 gm,₹865,₹684,https://www.1mg.com/otc/sbl-homeocal-tablet-otc812926
SBL Drops No. 1 (For Hair Care),30 ml,₹185,₹157,https://www.1mg.com/otc/sbl-drops-no.-1-for-hair-care-otc325890
Wheezal Power Up+ Drop,30 ml,₹400,₹256,https://www.1mg.com/otc/wheezal-power-up-drop-otc339243
Allen Snorid Drop,30 ml,₹170,₹156,https://www.1mg.com/otc/allen-snorid-drop-otc330383
Dr. Reckeweg Cholesterinum Trituration Tablet 3X,20 gm,₹255,₹241,https://www.1mg.com/otc/dr.-reckeweg-cholesterinum-trituration-tablet-3x-otc326942
SBL Allium Cepa Dilution 30 CH,30 ml,₹100,₹97,https://www.1mg.com/otc/sbl-allium-cepa-dilution-30-ch-otc338390
Dr. Reckeweg Bryonia Alba Dilution 30 CH,11 ml,₹145,₹128,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-30-ch-otc326880
SBL Causticum Dilution 200 CH,30 ml,₹115,₹109,https://www.1mg.com/otc/sbl-causticum-dilution-200-ch-otc346123
